,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S
A,0,0.638493545,1.030940647,0.363883264,0.446289752,0.409702588,0.40395583,0.168457673,0.269292746,0.374904648,0.550024436,0.24288472,0.357111563,0.18208593,0.377186527,0.326224178,0.278230537,0.190483405,0.76236159
B,0.638493545,0,0.639465226,0.620846737,0.452921192,0.562076261,0.380031165,0.276639878,0.254849072,0.487326438,0.339084801,0.426796616,0.322409182,0.277348798,0.32386016,0.50546928,0.290852096,0.339230637,1.512492712
C,1.030940647,0.639465226,0,0.404912952,0.541855708,0.412099305,0.478989471,0.156155274,0.313513484,0.329043693,0.584220149,0.268274224,0.47029565,0.150795737,0.379393446,0.446174898,0.368389123,0.225428425,0.628184318
D,0.363883264,0.620846737,0.404912952,0,0.476395695,0.873307889,0.442590036,0.343284305,0.315851323,0.381915361,0.271142886,0.630612553,0.343873593,0.266493674,0.323968553,0.374577848,0.410555147,0.495248994,0.562982361
E,0.446289752,0.452921192,0.541855708,0.476395695,0,0.525836399,1.26149314,0.222476795,0.597823174,0.296810288,0.290912119,0.305942759,0.556792562,0.165203471,0.526273321,0.253003109,0.421070922,0.385753762,0.462909024
F,0.409702588,0.562076261,0.412099305,0.873307889,0.525836399,0,0.529488845,0.614413222,0.417653983,0.41253673,0.304842104,0.505185327,0.376278591,0.298212983,0.414317852,0.343053139,0.360622573,0.599787505,0.567286645
G,0.40395583,0.380031165,0.478989471,0.442590036,1.26149314,0.529488845,0,0.201562684,1.019020849,0.369900507,0.378446499,0.332461524,0.790993451,0.124774294,0.614603307,0.292080449,0.495141534,0.461332606,0.39864633
H,0.168457673,0.276639878,0.156155274,0.343284305,0.222476795,0.614413222,0.201562684,0,0.184229412,0.222753743,0.112215132,0.257123682,0.138878175,0.290128986,0.16410954,0.195203543,0.154516593,0.386449135,0.275274459
I,0.269292746,0.254849072,0.313513484,0.315851323,0.597823174,0.417653983,1.019020849,0.184229412,0,0.385362292,0.378929852,0.334223165,0.845882727,0.114555286,0.5218346,0.30119329,0.482449313,0.511151552,0.274625833
J,0.374904648,0.487326438,0.329043693,0.381915361,0.296810288,0.41253673,0.369900507,0.222753743,0.385362292,0,0.38347465,0.535851422,0.423597917,0.207969374,0.382079171,0.411569267,0.32278088,0.348739491,0.581335887
K,0.550024436,0.339084801,0.584220149,0.271142886,0.290912119,0.304842104,0.378446499,0.112215132,0.378929852,0.38347465,0,0.263742427,0.602863654,0.093693788,0.362832199,0.38294105,0.32393398,0.222258572,0.372777343
L,0.24288472,0.426796616,0.268274224,0.630612553,0.305942759,0.505185327,0.332461524,0.257123682,0.334223165,0.535851422,0.263742427,0,0.374486583,0.225651317,0.316483924,0.407534662,0.360964779,0.416875452,0.411842912
M,0.357111563,0.322409182,0.47029565,0.343873593,0.556792562,0.376278591,0.790993451,0.138878175,0.845882727,0.423597917,0.602863654,0.374486583,0,0.114430597,0.560162642,0.413199045,0.524130192,0.38030112,0.339641753
N,0.18208593,0.277348798,0.150795737,0.266493674,0.165203471,0.298212983,0.124774294,0.290128986,0.114555286,0.207969374,0.093693788,0.225651317,0.114430597,0,0.135984207,0.161370508,0.100242638,0.164003155,0.272107512
O,0.377186527,0.32386016,0.379393446,0.323968553,0.526273321,0.414317852,0.614603307,0.16410954,0.5218346,0.382079171,0.362832199,0.316483924,0.560162642,0.135984207,0,0.226606682,0.250584847,0.260339079,0.376600384
P,0.326224178,0.50546928,0.446174898,0.374577848,0.253003109,0.343053139,0.292080449,0.195203543,0.30119329,0.411569267,0.38294105,0.407534662,0.413199045,0.161370508,0.226606682,0,0.396589471,0.410467896,0.456925484
Q,0.278230537,0.290852096,0.368389123,0.410555147,0.421070922,0.360622573,0.495141534,0.154516593,0.482449313,0.32278088,0.32393398,0.360964779,0.524130192,0.100242638,0.250584847,0.396589471,0,0.478213522,0.293811325
R,0.190483405,0.339230637,0.225428425,0.495248994,0.385753762,0.599787505,0.461332606,0.386449135,0.511151552,0.348739491,0.222258572,0.416875452,0.38030112,0.164003155,0.260339079,0.410467896,0.478213522,0,0.331696095
S,0.76236159,1.512492712,0.628184318,0.562982361,0.462909024,0.567286645,0.39864633,0.275274459,0.274625833,0.581335887,0.372777343,0.411842912,0.339641753,0.272107512,0.376600384,0.456925484,0.293811325,0.331696095,0
